Generation Num,Predators,Prey
0, 10, 870
1, 10, 1512
2, 4495, 2126
3, 221, 768
4, 221, 1186
5, 3381, 1427
6, 103, 358
7, 103, 560
8, 1660, 897
9, 135, 477
10, 135, 742
11, 2232, 1211
12, 186, 659
13, 186, 1050
14, 3081, 1243
15, 19, 68
16, 19, 113
17, 316, 175
18, 32, 113
19, 32, 187
20, 563, 300
21, 41, 143
22, 41, 231
23, 708, 381
24, 57, 205
25, 57, 325
26, 998, 540
27, 97, 346
28, 97, 534
29, 1636, 869
30, 159, 567
31, 159, 904
32, 2723, 1477
33, 258, 903
34, 258, 1408
35, 4075, 1759
36, 134, 470
37, 134, 741
38, 2153, 1209
39, 210, 740
40, 210, 1185
41, 3510, 1449
42, 72, 245
43, 72, 391
44, 1180, 626
45, 94, 328
46, 94, 523
47, 1570, 843
48, 132, 472
49, 132, 720
50, 2225, 1194
51, 188, 669
52, 188, 1048
53, 3139, 1712
54, 263, 913
55, 263, 1439
56, 4260, 1865
57, 133, 465
58, 133, 719
59, 2157, 1172
60, 190, 664
61, 190, 1038
62, 3114, 1698
63, 268, 929
64, 268, 1454
65, 4219, 1883
66, 135, 469
67, 135, 745
68, 2309, 1213
69, 174, 610
70, 174, 963
71, 2847, 1546
72, 219, 765
73, 219, 1217
74, 3555, 1488
75, 98, 349
76, 98, 553
77, 1627, 896
78, 144, 501
79, 144, 786
80, 2386, 1287
81, 189, 666
82, 189, 1036
83, 3131, 1689
84, 258, 906
85, 258, 1410
86, 4046, 1776
87, 114, 403
88, 114, 625
89, 1990, 1046
90, 132, 459
91, 132, 719
92, 2252, 1160
93, 154, 549
94, 154, 850
95, 2505, 1373
96, 246, 867
97, 246, 1343
98, 3899, 1711
99, 141, 497
100, 141, 723
101, 2169, 1161
102, 160, 551
103, 160, 830
104, 2517, 1372
105, 215, 760
106, 215, 1201
107, 3489, 1452
108, 73, 251
109, 73, 402
110, 1191, 641
111, 107, 375
112, 107, 564
113, 1738, 930
114, 132, 460
115, 132, 736
116, 2231, 1203
117, 193, 670
118, 193, 1041
119, 3159, 1696
120, 265, 928
121, 265, 1430
122, 4139, 1829
123, 142, 501
124, 142, 780
125, 2363, 1275
126, 213, 744
127, 213, 1126
128, 3156, 1330
129, 83, 292
130, 83, 453
131, 1363, 755
132, 114, 405
133, 114, 636
134, 1857, 1010
135, 148, 533
136, 148, 850
137, 2558, 1374
138, 224, 794
139, 224, 1226
140, 3460, 1474
141, 87, 299
142, 87, 452
143, 1375, 740
144, 99, 342
145, 99, 530
146, 1566, 869
147, 133, 474
148, 133, 736
149, 2132, 1172
150, 187, 659
151, 187, 1037
152, 3201, 1708
153, 260, 905
154, 260, 1418
155, 4085, 1818
156, 177, 621
157, 177, 976
158, 2968, 1590
159, 248, 863
160, 248, 1394
161, 4074, 1764
162, 129, 455
163, 129, 703
164, 2144, 1140
165, 151, 530
166, 151, 798
167, 2357, 1270
168, 222, 787
169, 222, 1244
170, 3579, 1515
171, 89, 312
172, 89, 485
173, 1419, 795
174, 149, 525
175, 149, 820
176, 2586, 1311
177, 159, 562
178, 159, 894
179, 2766, 1480
180, 209, 734
181, 209, 1141
182, 3366, 1366
183, 85, 303
184, 85, 461
185, 1402, 759
186, 97, 347
187, 97, 539
188, 1702, 873
189, 100, 353
190, 100, 567
191, 1713, 932
192, 142, 493
193, 142, 781
194, 2403, 1270
195, 199, 699
196, 199, 1033
197, 3144, 1675
198, 268, 933
199, 268, 1446
200, 4159, 1819
201, 127, 451
202, 127, 693
203, 2146, 1120
204, 166, 582
205, 166, 916
206, 2679, 1477
207, 267, 930
208, 267, 1445
209, 4152, 1862
210, 139, 498
211, 139, 785
212, 2423, 1273
213, 167, 589
214, 167, 894
215, 2741, 1446
216, 204, 711
217, 204, 1088
218, 3168, 1285
219, 46, 159
220, 46, 235
221, 696, 380
222, 61, 217
223, 61, 346
224, 1056, 564
225, 71, 244
226, 71, 369
227, 1203, 609
228, 59, 203
229, 59, 326
230, 973, 532
231, 74, 259
232, 74, 409
233, 1195, 658
234, 115, 406
235, 115, 634
236, 1937, 1021
237, 157, 549
238, 157, 846
239, 2505, 1353
240, 206, 716
241, 206, 1121
242, 3192, 1319
243, 30, 103
244, 30, 160
245, 488, 263
246, 49, 171
247, 49, 270
248, 836, 445
249, 72, 249
250, 72, 384
251, 1171, 617
252, 97, 338
253, 97, 518
254, 1625, 865
255, 144, 503
256, 144, 796
257, 2449, 1308
258, 191, 656
259, 191, 1027
260, 3115, 1699
261, 230, 803
262, 230, 1254
263, 3622, 1518
264, 86, 293
265, 86, 455
266, 1347, 739
267, 116, 407
268, 116, 662
269, 1981, 1079
270, 167, 591
271, 167, 933
272, 2772, 1514
273, 222, 774
274, 222, 1214
275, 3339, 1450
276, 122, 434
277, 122, 675
278, 2059, 1109
279, 185, 648
280, 185, 1038
281, 3209, 1700
282, 241, 834
283, 241, 1309
284, 3867, 1645
285, 115, 395
286, 115, 618
287, 1866, 984
288, 146, 513
289, 146, 815
290, 2436, 1331
291, 237, 845
292, 237, 1344
293, 3962, 1721
294, 81, 286
295, 81, 434
296, 1352, 707
297, 105, 364
298, 105, 592
299, 1804, 967
300, 168, 590
301, 168, 922
302, 2821, 1522
303, 220, 765
304, 220, 1166
305, 3313, 1399
306, 66, 237
307, 66, 359
308, 1053, 574
309, 95, 331
310, 95, 503
311, 1602, 833
312, 115, 410
313, 115, 625
314, 1910, 1013
315, 136, 478
316, 136, 756
317, 2279, 1214
318, 171, 592
319, 171, 945
320, 2849, 1509
321, 253, 894
322, 253, 1405
323, 4124, 1831
324, 151, 525
325, 151, 820
326, 2475, 1358
327, 241, 849
328, 241, 1329
329, 3744, 1653
330, 115, 398
331, 115, 629
332, 1850, 998
333, 151, 521
334, 151, 816
335, 2464, 1317
336, 210, 742
337, 210, 1148
338, 3300, 1371
339, 77, 260
340, 77, 393
341, 1173, 641
342, 93, 319
343, 93, 495
344, 1517, 818
345, 117, 401
346, 117, 625
347, 1859, 999
348, 145, 515
349, 145, 804
350, 2429, 1316
351, 217, 752
352, 217, 1175
353, 3499, 1436
354, 67, 238
355, 67, 367
356, 1233, 630
357, 91, 320
358, 91, 506
359, 1538, 798
360, 104, 358
361, 104, 561
362, 1716, 903
363, 146, 511
364, 146, 771
365, 2382, 1251
366, 178, 621
367, 178, 957
368, 2970, 1564
369, 233, 834
370, 233, 1301
371, 3724, 1613
372, 107, 375
373, 107, 580
374, 1708, 935
375, 151, 514
376, 151, 806
377, 2473, 1324
378, 209, 720
379, 209, 1107
380, 3249, 1316
381, 23, 79
382, 23, 127
383, 377, 213
384, 41, 143
385, 41, 235
386, 716, 384
387, 54, 185
388, 54, 292
389, 910, 461
390, 66, 226
391, 66, 359
392, 1067, 592
393, 82, 292
394, 82, 472
395, 1516, 775
396, 86, 306
397, 86, 465
398, 1461, 770
399, 87, 304
400, 87, 479
401, 1474, 768
402, 91, 334
403, 91, 531
404, 1560, 874
405, 136, 481
406, 136, 753
407, 2365, 1238
408, 181, 627
409, 181, 978
410, 2915, 1624
411, 267, 931
412, 267, 1448
413, 4145, 1848
414, 160, 570
415, 160, 902
416, 2688, 1447
417, 218, 754
418, 218, 1177
419, 3328, 1406
420, 71, 253
421, 71, 402
422, 1242, 641
423, 106, 371
424, 106, 604
425, 1783, 980
426, 165, 569
427, 165, 890
428, 2698, 1455
429, 208, 723
430, 208, 1132
431, 3230, 1330
432, 43, 145
433, 43, 228
434, 679, 361
435, 42, 147
436, 42, 219
437, 703, 355
438, 54, 191
439, 54, 288
440, 843, 465
441, 67, 232
442, 67, 358
443, 1077, 583
444, 101, 349
445, 101, 550
446, 1636, 882
447, 148, 517
448, 148, 814
449, 2502, 1326
450, 196, 695
451, 196, 1085
452, 3028, 1287
453, 82, 291
454, 82, 457
455, 1406, 751
456, 100, 351
457, 100, 543
458, 1561, 860
459, 140, 493
460, 140, 771
461, 2376, 1272
462, 165, 579
463, 165, 912
464, 2736, 1490
465, 229, 809
466, 229, 1233
467, 3591, 1516
468, 105, 363
469, 105, 563
470, 1786, 940
471, 153, 538
472, 153, 846
473, 2614, 1415
474, 199, 705
475, 199, 1100
476, 3136, 1297
477, 51, 176
478, 51, 281
479, 892, 459
480, 45, 159
481, 45, 250
482, 782, 404
483, 57, 202
484, 57, 300
485, 896, 486
486, 92, 318
487, 92, 510
488, 1549, 841
489, 127, 444
490, 127, 693
491, 2073, 1130
492, 188, 657
493, 188, 1009
494, 3075, 1653
495, 208, 724
496, 208, 1125
497, 3183, 1317
498, 79, 273
499, 79, 432
500, 1308, 690
501, 90, 319
502, 90, 509
503, 1499, 830
504, 144, 511
505, 144, 797
506, 2410, 1301
507, 201, 714
508, 201, 1081
509, 3082, 1273
510, 48, 173
511, 48, 276
512, 853, 457
513, 63, 216
514, 63, 330
515, 1007, 554
516, 93, 323
517, 93, 498
518, 1496, 803
519, 101, 360
520, 101, 557
521, 1695, 931
522, 127, 438
523, 127, 680
524, 1973, 1108
525, 172, 615
526, 172, 943
527, 2860, 1521
528, 242, 843
529, 242, 1333
530, 3759, 1640
531, 130, 462
532, 130, 703
533, 2176, 1151
534, 166, 572
535, 166, 894
536, 2720, 1449
537, 201, 701
538, 201, 1104
539, 3110, 1274
540, 41, 142
541, 41, 223
542, 665, 361
543, 57, 194
544, 57, 309
545, 893, 504
546, 83, 286
547, 83, 443
548, 1271, 699
549, 115, 396
550, 115, 627
551, 1862, 995
552, 154, 537
553, 154, 814
554, 2469, 1331
555, 225, 792
556, 225, 1264
557, 3566, 1552
558, 115, 392
559, 115, 597
